transcript_id	gene_name
ENST00000558010.1	LINC03137
ENST00000558048.5	IGDCC4
ENST00000558049.5	MEF2A
ENST00000558108.6	FRMD5
ENST00000558404.1	ENSG00000259370
ENST00000558812.5	MEF2A
ENST00000558819.1	IGDCC4
ENST00000558856.5	MEF2A
ENST00000558883.1	ZNF710
ENST00000558888.3	ENSG00000259370
ENST00000558983.5	MEF2A
ENST00000559036.5	MEF2A
ENST00000559174.1	TLN2
ENST00000559327.1	IGDCC4
ENST00000559360.1	ZNF710
ENST00000559419.1	ZNF710
ENST00000559903.1	MEF2A
ENST00000559908.1	TLN2
ENST00000560319.1	IGDCC4
ENST00000560439.1	ENSG00000259560
ENST00000560493.5	MEF2A
ENST00000560674.5	SYNM
ENST00000560908.1	ZNF710
ENST00000560963.1	ENSG00000259370
ENST00000561121.1	ENSG00000259478
ENST00000561125.2	MEF2A
ENST00000561197.5	TLN2
ENST00000561309.1	IGDCC4
ENST00000561311.5	TLN2
ENST00000561322.1	TLN2
ENST00000561883.1	SPIRE2
ENST00000562029.5	SPIRE2
ENST00000562156.5	ZFP90
ENST00000562855.7	SLC22A31
ENST00000562897.2	ENSG00000260328
ENST00000562916.1	SLC22A31
ENST00000563061.2	LINC02165
ENST00000563169.7	ZFP90
ENST00000563595.6	SLC22A31
ENST00000563972.1	SPIRE2
ENST00000564039.1	METTL26
ENST00000564323.5	ZFP90
ENST00000564438.1	ENSG00000261790
ENST00000564558.5	ZFP90
ENST00000564878.5	SPIRE2
ENST00000565041.1	ENSG00000261790
ENST00000565103.1	SPIRE2
ENST00000565163.5	METTL26
ENST00000565628.1	SPIRE2
ENST00000565799.1	METTL26
ENST00000566337.5	SPIRE2
ENST00000566573.5	ZFP90
ENST00000568077.5	METTL26
ENST00000568161.2	SLC22A31
ENST00000568773.1	METTL26
ENST00000568830.1	METTL26
ENST00000569108.5	SPIRE2
ENST00000569109.5	ZFP90
ENST00000569323.5	ZFP90
ENST00000570495.5	ZFP90
ENST00000570641.1	SPNS2
ENST00000570712.4	ZNF232-AS1
ENST00000570884.1	ZFP90
ENST00000570979.1	SPNS2
ENST00000571046.1	THOC6
ENST00000571057.5	THOC6
ENST00000571138.6	ZNF232-AS1
ENST00000571382.5	ZFP90
ENST00000571386.1	SPNS2
ENST00000571452.1	ENSG00000263278
ENST00000571668.5	SPNS2
ENST00000571720.2	ZFP90
ENST00000571809.5	ZFP90
ENST00000572515.5	NFKBIB
ENST00000573106.1	SPNS2
ENST00000573113.3	ZFP90
ENST00000573161.1	ZFP90
ENST00000573685.5	ZFP90
ENST00000573704.5	THOC6
ENST00000573990.1	SPNS2
ENST00000574121.1	CCNE1
ENST00000574498.5	THOC6
ENST00000574549.5	THOC6
ENST00000574957.1	THOC6
ENST00000575243.5	CCNE1
ENST00000575359.5	NFKBIB
ENST00000575576.5	THOC6
ENST00000576143.5	THOC6
ENST00000576305.5	ZFP90
ENST00000576510.5	NFKBIB
ENST00000576532.1	CCNE1
ENST00000576635.6	SPNS2
ENST00000576805.5	ZFP90
ENST00000578022.2	SEPTIN4-AS1
ENST00000579103.1	PNRC2
ENST00000580256.3	PIRT
ENST00000580275.5	THY1
ENST00000580589.6	SEPTIN4-AS1
ENST00000580769.2	SEPTIN4-AS1
ENST00000582062.1	CENPV
ENST00000582536.1	ENSG00000265073
ENST00000584021.1	THY1
ENST00000584214.1	CENPV
ENST00000584779.1	ENSG00000265073
ENST00000585889.1	GIPR
ENST00000586912.1	CCNE1
ENST00000586920.1	RELCH
ENST00000587198.1	RELCH
ENST00000587519.4	ENSG00000267748
ENST00000587714.1	RELCH
ENST00000587725.5	RELCH
ENST00000587764.5	RELCH
ENST00000588446.1	RELCH
ENST00000588816.1	GIPR
ENST00000589116.2	CCBE1
ENST00000589419.2	CCBE1
ENST00000590713.1	RELCH
ENST00000590918.6	GIPR
ENST00000591224.1	GIPR
ENST00000591227.1	RELCH
ENST00000591322.1	GIPR
ENST00000591889.2	ENSG00000267748
ENST00000592479.5	RELCH
ENST00000593127.1	GIPR
ENST00000593217.1	RELCH
ENST00000593335.1	CCNP
ENST00000593337.5	IRF3
ENST00000593818.5	IRF3
ENST00000593922.5	IRF3
ENST00000594047.2	SYNM
ENST00000594387.1	IRF3
ENST00000594390.5	ZNF493
ENST00000594692.1	MCOLN1
ENST00000595034.5	IRF3
ENST00000595240.5	IRF3
ENST00000595452.1	TMEM38A
ENST00000595750.2	PRR19
ENST00000595860.5	MCOLN1
ENST00000596008.1	MCOLN1
ENST00000596053.5	ZNF714
ENST00000596132.5	SAXO5
ENST00000596302.5	ZNF493
ENST00000596354.6	NFIA-AS1
ENST00000596390.1	MCOLN1
ENST00000596404.1	NFIA-AS1
ENST00000596524.1	SAXO5
ENST00000596644.5	IRF3
ENST00000596756.5	IRF3
ENST00000596765.5	IRF3
ENST00000596788.1	IRF3
ENST00000596815.1	ZNF493
ENST00000596822.5	IRF3
ENST00000597180.1	IRF3
ENST00000597198.5	IRF3
ENST00000597207.1	SAXO5
ENST00000597369.1	IRF3
ENST00000597636.5	IRF3
ENST00000597983.1	HSH2D-AS1
ENST00000598108.5	IRF3
ENST00000598152.1	ZNF493
ENST00000598406.1	MCOLN1
ENST00000598490.1	PRR19
ENST00000598808.5	IRF3
ENST00000599144.5	IRF3
ENST00000599223.5	IRF3
ENST00000599263.6	CCNP
ENST00000599334.1	MCOLN1
ENST00000599461.1	ZNF493
ENST00000599479.1	TMEM38A
ENST00000599517.1	ZNF493
ENST00000599676.1	HSH2D-AS1
ENST00000599680.1	IRF3
ENST00000600007.1	SAXO3
ENST00000600022.5	IRF3
ENST00000600112.1	SAXO5
ENST00000600453.1	IRF3
ENST00000600535.1	ZNF714
ENST00000600911.5	IRF3
ENST00000601003.1	MCOLN1
ENST00000601176.1	SAXO5
ENST00000601291.5	IRF3
ENST00000601292.1	SAXO5
ENST00000601373.6	IRF3
ENST00000601809.5	IRF3
ENST00000602190.1	IRF3
ENST00000602227.1	MCOLN1
ENST00000602246.1	PNMA8A
ENST00000602854.6	ENSG00000233068
ENST00000603735.1	SLC22A31
ENST00000606119.2	MFF-DT
ENST00000608053.1	SLC25A16
ENST00000608785.2	LINC02362
ENST00000609923.6	SLC25A16
ENST00000610426.5	NSA2
ENST00000610683.5	LINC02362
ENST00000610902.4	ZNF714
ENST00000611381.4	ZFP90
ENST00000611949.1	ENSG00000263278
ENST00000612281.1	LHX1-DT
ENST00000612423.4	PLP1
ENST00000613286.4	ZNF714
ENST00000613993.2	ATG5
ENST00000614277.1	LHX1-DT
ENST00000614890.4	METTL26
ENST00000614943.4	SLC22A31
ENST00000615124.1	ENSG00000290368
ENST00000616101.5	TBC1D3D
ENST00000616183.1	ZNF714
ENST00000616281.1	EMX1
ENST00000616341.1	LHX1-DT
ENST00000616978.5	SLC9A7
ENST00000617323.4	LINC02362
ENST00000617804.1	ENSG00000274322
ENST00000617929.4	NFIA-AS1
ENST00000618008.4	ZNF714
ENST00000618156.5	PPP1R2
ENST00000618422.1	ZNF714
ENST00000618556.4	FRMD5
ENST00000618770.1	ENSG00000274322
ENST00000618878.1	LBX2
ENST00000619236.1	PLP1
ENST00000619257.4	PLP1
ENST00000619900.4	TMEM212
ENST00000620627.1	ZNF714
ENST00000621218.5	PLP1
ENST00000621428.1	LHX1-DT
ENST00000621650.2	ZNF8
ENST00000622506.4	GH2
ENST00000622604.4	PELATON
ENST00000623522.1	ZNF232-AS1
ENST00000623735.2	YWHAH-AS1
ENST00000623863.1	ENSG00000280113
ENST00000624067.1	ENSG00000279628
ENST00000624672.1	ENSG00000279628
ENST00000624689.3	MCC
ENST00000625113.1	ENSG00000284830
ENST00000625249.1	PNPT1
ENST00000625807.1	PPP1R2
ENST00000626805.2	NFIA-AS1
ENST00000630199.2	NFIA-AS1
ENST00000630693.2	GDI1
ENST00000630913.2	PICALM
ENST00000630993.1	NFIA-AS1
ENST00000631687.2	CENPV
ENST00000633942.1	PLIN4
ENST00000635081.1	ENSG00000291072
ENST00000635206.3	CCDC149
ENST00000635446.1	LINC02794
ENST00000635758.2	ATG5
ENST00000636096.3	ENSG00000283599
ENST00000636159.2	TLN2
ENST00000636335.1	ATG5
ENST00000636437.1	ATG5
ENST00000636797.3	ENSG00000283599
ENST00000636859.1	FRMD5
ENST00000637680.2	SAXO3
ENST00000637980.1	MIR670HG
ENST00000639456.2	ENSG00000291072
ENST00000639481.1	ENSG00000291072
ENST00000639594.1	ENSG00000291072
ENST00000639753.1	ENSG00000280113
ENST00000640476.1	ENSG00000291072
ENST00000640831.2	ENSG00000293430
ENST00000641245.1	ENSG00000293433
ENST00000641518.1	ENSG00000293433
ENST00000641789.2	YWHAH-AS1
ENST00000642412.2	A4GALT
ENST00000642874.1	KCNIP2
ENST00000642900.1	SRP72
ENST00000643525.1	GSR
ENST00000643653.1	GSR
ENST00000643990.1	EFNB2
ENST00000644646.2	RELCH
ENST00000644987.1	ENSG00000290455
ENST00000646025.1	ATG5
ENST00000646222.1	SRP72
ENST00000646441.1	EFNB2
ENST00000646537.1	SRP72
ENST00000646579.1	SRP72
ENST00000647432.1	SRP72
ENST00000647439.1	A4GALT
ENST00000647887.1	PNRC2
ENST00000648025.2	ENSG00000233068
ENST00000648238.2	ENSG00000285911
ENST00000648264.1	POLR2J4
ENST00000648897.1	VRK2
ENST00000649564.1	CCBE1
ENST00000650234.1	LINC00924
ENST00000650467.2	CCBE1
ENST00000650740.1	ENSG00000286118
ENST00000650783.1	ENSG00000203971
ENST00000651172.1	DSCAML1
ENST00000651296.2	DSCAML1
ENST00000651466.1	PELATON
ENST00000651720.1	ENSG00000251574
ENST00000651976.1	PELATON
ENST00000652147.3	ENSG00000228427
ENST00000652180.1	GIPR
ENST00000652670.1	ENSG00000250385
ENST00000653141.2	LINC00924
ENST00000653165.1	FEZF1-AS1
ENST00000653776.2	ENSG00000288060
ENST00000653846.2	ENSG00000251574
ENST00000654180.2	ENSG00000287215
ENST00000654264.1	YWHAH-AS1
ENST00000654335.1	ENSG00000261790
ENST00000654451.2	ENSG00000261790
ENST00000654925.1	SNHG10
ENST00000655106.2	LINC02165
ENST00000655842.1	LINC00924
ENST00000656130.2	ENSG00000259560
ENST00000656243.1	ENSG00000251574
ENST00000656332.1	PELATON
ENST00000656422.3	MYOSLID
ENST00000656540.1	MFF-DT
ENST00000656667.1	ENSG00000251574
ENST00000656707.1	MFF-DT
ENST00000656744.2	LINC02165
ENST00000656771.1	MFF-DT
ENST00000657158.1	MFF-DT
ENST00000657204.1	ENSG00000287964
ENST00000657873.1	MFF-DT
ENST00000658007.1	LINC02362
ENST00000658093.1	MFF-DT
ENST00000658248.1	ENSG00000250775
ENST00000658334.1	ENSG00000251574
ENST00000658538.1	LINC02880
ENST00000658573.1	SEPTIN7-DT
ENST00000658632.1	MFF-DT
ENST00000658717.2	PELATON
ENST00000658932.4	SNHG10
ENST00000659174.1	ENSG00000251574
ENST00000659751.1	ENSG00000251574
ENST00000659888.1	TNPO1-DT
ENST00000660068.1	ENSG00000251574
ENST00000660378.4	SNHG10
ENST00000660762.1	ENSG00000287215
ENST00000660803.1	MFF-DT
ENST00000661031.1	ENSG00000287691
ENST00000661290.2	ENSG00000251574
ENST00000661557.1	LINC02165
ENST00000661935.1	MYOSLID
ENST00000662009.1	MFF-DT
ENST00000662023.1	LINC02362
ENST00000662503.1	LINC02362
ENST00000662678.1	ENSG00000251574
ENST00000662691.1	TNPO1-DT
ENST00000663009.2	PELATON
ENST00000663212.1	SNHG10
ENST00000663216.1	LINC02362
ENST00000663232.1	EPB41L4A-AS1
ENST00000663583.1	PHACTR3-AS1
ENST00000663586.2	LINC02362
ENST00000663630.1	TNPO1-DT
ENST00000663697.2	ENSG00000287295
ENST00000663815.1	LINC00924
ENST00000664194.1	ENSG00000286936
ENST00000664326.1	LINC02165
ENST00000664514.4	ENSG00000228427
ENST00000664617.1	ENSG00000249945
ENST00000664845.1	LHX1-DT
ENST00000664853.1	MIR670HG
ENST00000664984.1	CRAT37
ENST00000665027.1	ENSG00000286764
ENST00000665074.1	ENSG00000229976
ENST00000665121.1	ENSG00000259560
ENST00000665165.1	MFF-DT
ENST00000665219.1	LINC02362
ENST00000665516.1	SEPTIN7-DT
ENST00000665572.2	LINC02828
ENST00000665679.4	ZNF232-AS1
ENST00000665963.1	ENSG00000251574
ENST00000665988.1	MFF-DT
ENST00000666261.1	LINC02362
ENST00000666316.1	LINC02165
ENST00000666394.1	LINC02362
ENST00000666421.1	MYOSLID
ENST00000666494.1	ENSG00000287389
ENST00000666787.1	ENSG00000253295
ENST00000666788.1	MFF-DT
ENST00000667007.1	ENSG00000287964
ENST00000667133.1	LINC02362
ENST00000667186.2	YWHAH-AS1
ENST00000667310.2	SNHG10
ENST00000667668.2	SNHG10
ENST00000668185.1	ENSG00000229976
ENST00000668439.1	LINC02828
ENST00000668687.1	ENSG00000286765
ENST00000668704.1	MFF-DT
ENST00000668717.1	PHACTR3-AS1
ENST00000669023.1	LHX1-DT
ENST00000669075.1	MFF-DT
ENST00000669636.1	ENSG00000251574
ENST00000669760.2	ENSG00000287215
ENST00000669785.2	ENSG00000251574
ENST00000670070.1	MFF-DT
ENST00000670119.1	LINC02362
ENST00000670426.1	SEPTIN7-DT
ENST00000670472.1	YWHAH-AS1
ENST00000670658.1	ENSG00000224099
ENST00000670674.1	LINC01498
ENST00000670891.1	LINC00924
ENST00000671157.3	SNHG10
ENST00000671186.1	LHX1-DT
ENST00000671304.1	ENSG00000251574
ENST00000671563.1	MFF-DT
ENST00000673909.1	REG3A
ENST00000676309.1	YWHAH-AS1
ENST00000677327.1	GGH
ENST00000677459.1	GGH
ENST00000677482.1	GGH
ENST00000677919.1	GGH
ENST00000678045.1	GGH
ENST00000678069.1	GGH
ENST00000679326.1	GGH
ENST00000679438.1	IFIT3
ENST00000679536.1	IFIT3
ENST00000679583.1	IFIT3
ENST00000679781.1	IFIT3
ENST00000679897.1	IFIT3
ENST00000679923.1	IFIT3
ENST00000680037.1	IFIT3
ENST00000680085.1	IFIT3
ENST00000680779.1	IFIT3
ENST00000681178.1	IFIT3
ENST00000681207.1	IFIT3
ENST00000681277.1	IFIT3
ENST00000681376.1	IFIT3
ENST00000682282.1	SLC22A31
ENST00000682469.2	USP38
ENST00000682486.1	USP38
ENST00000683013.1	DES
ENST00000683224.1	USP38
ENST00000684346.1	USP38
ENST00000684586.1	USP38
ENST00000684615.1	USP38
ENST00000685307.3	SNHG10
ENST00000685785.1	MEF2A
ENST00000686611.1	MEF2A
ENST00000686613.2	AZGP1P1
ENST00000687131.3	SEPTIN4-AS1
ENST00000687281.2	CRAT37
ENST00000687361.2	ENSG00000289114
ENST00000687380.1	SH3PXD2A
ENST00000687412.2	ENSG00000289220
ENST00000688090.1	ENSG00000254339
ENST00000688370.2	EPB41L4A-AS1
ENST00000688540.2	ENSG00000254339
ENST00000688569.2	ENSG00000254339
ENST00000690055.1	MEF2A
ENST00000690733.2	EPB41L4A-AS1
ENST00000691105.1	SH3PXD2A
ENST00000691395.1	PELATON
ENST00000691492.1	MEF2A
ENST00000692282.2	ENSG00000254339
ENST00000692392.1	PELATON
ENST00000692566.3	SEPTIN7-DT
ENST00000692647.1	ENSG00000288933
ENST00000692731.3	ENSG00000289552
ENST00000692756.1	SH3PXD2A
ENST00000693057.3	AZGP1P1
ENST00000693092.2	ENSG00000289442
ENST00000693635.2	MIR670HG
ENST00000695903.1	CCBE1
ENST00000695904.1	CCBE1
ENST00000696170.1	CYBB
ENST00000696171.1	CYBB
ENST00000696172.1	CYBB
ENST00000696173.1	CYBB
ENST00000696219.1	SPRR1A
ENST00000701226.2	ENSG00000247011
ENST00000701281.2	AZGP1P1
ENST00000701681.1	ENSG00000287389
ENST00000701937.1	ENSG00000291072
ENST00000702084.2	AZGP1P1
ENST00000702181.2	EPB41L4A-AS1
ENST00000702208.1	PELATON
ENST00000702263.2	ENSG00000288933
ENST00000702686.2	EPB41L4A-AS1
ENST00000702852.1	AZGP1P1
ENST00000702941.1	ENSG00000290092
ENST00000713711.1	CASQ2
ENST00000713712.1	CASQ2
ENST00000713713.1	CASQ2
ENST00000713727.1	CASQ2
ENST00000713728.1	CASQ2
ENST00000713729.1	CASQ2
ENST00000715307.1	ENSG00000291072
ENST00000715308.1	ENSG00000291072
ENST00000715309.1	ENSG00000291072
ENST00000715310.1	ENSG00000291072
ENST00000715311.1	ENSG00000291072
ENST00000715312.1	ENSG00000291072
ENST00000715313.1	ENSG00000291072
ENST00000715314.1	ENSG00000291072
ENST00000715315.1	ENSG00000291072
ENST00000715316.1	ENSG00000291072
ENST00000715317.1	ENSG00000291072
ENST00000715318.1	ENSG00000291072
ENST00000715319.1	ENSG00000291072
ENST00000715320.1	ENSG00000291072
ENST00000715321.1	ENSG00000291072
ENST00000715322.1	ENSG00000291072
ENST00000715323.1	ENSG00000291072
ENST00000715324.1	ENSG00000291072
ENST00000715325.1	ENSG00000291072
ENST00000715326.1	ENSG00000291072
ENST00000715327.1	ENSG00000291072
ENST00000715328.1	ENSG00000291072
ENST00000715329.1	ENSG00000291072
ENST00000715330.1	ENSG00000291072
ENST00000715331.1	ENSG00000291072
ENST00000715332.1	ENSG00000291072
ENST00000715333.1	ENSG00000291072
ENST00000715334.1	ENSG00000291072
ENST00000715436.1	POLR2J4
ENST00000715437.1	POLR2J4
ENST00000716842.1	ENSG00000293651
ENST00000716843.1	ENSG00000293651
ENST00000716897.1	ENSG00000290368
ENST00000716898.1	ENSG00000290368
ENST00000716899.1	ENSG00000290368
ENST00000717184.1	SEPTIN4-AS1
ENST00000718094.1	ENSG00000251574
ENST00000718095.1	ENSG00000251574
ENST00000718096.1	ENSG00000251574
ENST00000718352.1	PELATON
ENST00000718353.1	PELATON
ENST00000718354.1	PELATON
ENST00000718355.1	PELATON
ENST00000718496.1	MIR670HG
ENST00000718497.1	MIR670HG
ENST00000718498.1	MIR670HG
ENST00000719806.1	ENSG00000254409
ENST00000719807.1	ENSG00000254409
ENST00000719808.1	ENSG00000254409
ENST00000719809.1	ENSG00000254409
ENST00000719810.1	ENSG00000254409
ENST00000719811.1	ENSG00000254409
ENST00000719812.1	ENSG00000254409
ENST00000719813.1	ENSG00000254409
ENST00000719834.1	ENSG00000293908
ENST00000719835.1	ENSG00000293908
ENST00000719836.1	ENSG00000293908
ENST00000720220.1	ENSG00000293959
ENST00000720221.1	ENSG00000293959
ENST00000720222.1	ENSG00000293959
ENST00000720223.1	ENSG00000293959
ENST00000720224.1	ENSG00000293959
ENST00000720225.1	ENSG00000293959
ENST00000720226.1	ENSG00000293959
ENST00000720227.1	ENSG00000293959
ENST00000720228.1	ENSG00000293959
ENST00000720346.1	ENSG00000251574
ENST00000720347.1	ENSG00000251574
ENST00000720348.1	ENSG00000251574
ENST00000720349.1	ENSG00000251574
ENST00000720350.1	ENSG00000251574
ENST00000721139.1	ENSG00000294110
ENST00000721140.1	ENSG00000294110
ENST00000721141.1	ENSG00000294110
ENST00000722344.1	ENSG00000294275
ENST00000722345.1	ENSG00000294275
ENST00000722346.1	ENSG00000294275
ENST00000722471.1	ENSG00000294282
ENST00000722472.1	ENSG00000294282
ENST00000722473.1	ENSG00000294282
ENST00000724579.1	ENSG00000288933
ENST00000724580.1	ENSG00000288933
ENST00000724949.1	ENSG00000294649
ENST00000724950.1	ENSG00000294649
ENST00000724951.1	ENSG00000294649
ENST00000724952.1	ENSG00000294649
ENST00000724953.1	ENSG00000294649
ENST00000724954.1	ENSG00000294649
ENST00000724955.1	ENSG00000294649
ENST00000725150.1	ENSG00000294671
ENST00000725151.1	ENSG00000294671
ENST00000725152.1	ENSG00000294671
ENST00000725153.1	ENSG00000294671
ENST00000725210.1	ENSG00000294677
ENST00000725211.1	ENSG00000294677
ENST00000725212.1	ENSG00000294677
ENST00000725213.1	ENSG00000294677
ENST00000725214.1	ENSG00000294677
ENST00000726048.1	NFIA-AS1
ENST00000726870.1	ENSG00000255516
ENST00000726874.1	ENSG00000286764
ENST00000727186.1	ENSG00000294986
ENST00000727187.1	ENSG00000294986
ENST00000727188.1	ENSG00000294986
ENST00000727189.1	ENSG00000294986
ENST00000727190.1	ENSG00000294986
ENST00000727191.1	ENSG00000294986
ENST00000727192.1	ENSG00000294986
ENST00000727193.1	ENSG00000294986
ENST00000727194.1	ENSG00000294986
ENST00000727195.1	ENSG00000294986
ENST00000727196.1	ENSG00000294986
ENST00000727197.1	ENSG00000294986
ENST00000727198.1	ENSG00000294986
ENST00000727199.1	ENSG00000294986
ENST00000727200.1	ENSG00000294986
ENST00000729098.1	ENSG00000289442
ENST00000729402.1	ENSG00000289220
ENST00000729403.1	ENSG00000289220
ENST00000729404.1	ENSG00000289220
ENST00000729410.1	ENSG00000295347
ENST00000729411.1	ENSG00000295347
ENST00000729412.1	ENSG00000295347
ENST00000729413.1	ENSG00000295347
ENST00000729693.1	ENSG00000287295
ENST00000732087.1	ENSG00000288060
ENST00000732921.1	LINC01498
ENST00000732922.1	LINC01498
ENST00000732923.1	LINC01498
ENST00000732924.1	LINC01498
ENST00000733736.1	ENSG00000253295
ENST00000733737.1	ENSG00000253295
ENST00000733738.1	ENSG00000253295
ENST00000733739.1	ENSG00000253295
ENST00000733740.1	ENSG00000253295
ENST00000736161.1	ENSG00000296079
ENST00000736162.1	ENSG00000296079
ENST00000736163.1	ENSG00000296079
ENST00000736359.1	SEPTIN7-DT
ENST00000736360.1	SEPTIN7-DT
ENST00000736361.1	SEPTIN7-DT
ENST00000736362.1	SEPTIN7-DT
ENST00000736363.1	SEPTIN7-DT
ENST00000736364.1	SEPTIN7-DT
ENST00000736365.1	SEPTIN7-DT
ENST00000736366.1	SEPTIN7-DT
ENST00000736367.1	SEPTIN7-DT
ENST00000736368.1	SEPTIN7-DT
ENST00000736369.1	SEPTIN7-DT
ENST00000736370.1	SEPTIN7-DT
ENST00000736371.1	SEPTIN7-DT
ENST00000736372.1	SEPTIN7-DT
ENST00000736373.1	SEPTIN7-DT
ENST00000736374.1	SEPTIN7-DT
ENST00000736375.1	SEPTIN7-DT
ENST00000736376.1	SEPTIN7-DT
ENST00000736377.1	SEPTIN7-DT
ENST00000736378.1	SEPTIN7-DT
ENST00000736379.1	SEPTIN7-DT
ENST00000736380.1	SEPTIN7-DT
ENST00000736381.1	SEPTIN7-DT
ENST00000736382.1	SEPTIN7-DT
ENST00000736383.1	SEPTIN7-DT
ENST00000736384.1	SEPTIN7-DT
ENST00000736385.1	SEPTIN7-DT
ENST00000736386.1	SEPTIN7-DT
ENST00000736387.1	SEPTIN7-DT
ENST00000736541.1	ENSG00000230941
ENST00000736542.1	ENSG00000230941
ENST00000736543.1	ENSG00000230941
ENST00000736544.1	ENSG00000230941
ENST00000737448.1	POLR2J4
ENST00000737449.1	POLR2J4
ENST00000737450.1	POLR2J4
ENST00000737451.1	POLR2J4
ENST00000737452.1	POLR2J4
ENST00000737453.1	POLR2J4
ENST00000737454.1	POLR2J4
ENST00000737455.1	POLR2J4
ENST00000737456.1	POLR2J4
ENST00000737457.1	POLR2J4
ENST00000739550.1	ENSG00000296416
ENST00000739551.1	ENSG00000296416
ENST00000739552.1	ENSG00000296416
ENST00000739553.1	ENSG00000296416
ENST00000739554.1	ENSG00000296416
ENST00000739555.1	ENSG00000296416
ENST00000739614.1	ENSG00000293430
ENST00000739615.1	ENSG00000293430
ENST00000739616.1	ENSG00000293430
ENST00000739617.1	ENSG00000293430
ENST00000739618.1	ENSG00000293430
ENST00000739619.1	ENSG00000293430
ENST00000739620.1	ENSG00000293430
ENST00000739998.1	SEPTIN4-AS1
ENST00000739999.1	SEPTIN4-AS1
ENST00000740000.1	SEPTIN4-AS1
ENST00000740001.1	SEPTIN4-AS1
ENST00000740002.1	SEPTIN4-AS1
ENST00000740003.1	SEPTIN4-AS1
ENST00000740004.1	SEPTIN4-AS1
ENST00000740005.1	SEPTIN4-AS1
ENST00000740006.1	SEPTIN4-AS1
ENST00000740007.1	SEPTIN4-AS1
ENST00000740008.1	SEPTIN4-AS1
ENST00000740009.1	SEPTIN4-AS1
ENST00000740010.1	SEPTIN4-AS1
ENST00000740032.1	SEPTIN4-AS1
ENST00000740039.1	SEPTIN4-AS1
ENST00000740040.1	SEPTIN4-AS1
ENST00000740041.1	SEPTIN4-AS1
ENST00000740042.1	SEPTIN4-AS1
ENST00000740043.1	SEPTIN4-AS1
ENST00000740044.1	SEPTIN4-AS1
ENST00000740045.1	SEPTIN4-AS1
ENST00000740046.1	SEPTIN4-AS1
ENST00000740047.1	SEPTIN4-AS1
ENST00000740048.1	SEPTIN4-AS1
ENST00000740049.1	SEPTIN4-AS1
ENST00000740050.1	SEPTIN4-AS1
ENST00000740051.1	SEPTIN4-AS1
ENST00000740088.1	NCF1C
ENST00000740089.1	NCF1C
ENST00000740090.1	NCF1C
ENST00000740091.1	NCF1C
ENST00000740092.1	NCF1C
ENST00000740093.1	NCF1C
ENST00000740094.1	NCF1C
ENST00000740246.1	ENSG00000228427
ENST00000740247.1	ENSG00000228427
ENST00000740248.1	ENSG00000228427
ENST00000740249.1	ENSG00000228427
ENST00000740250.1	ENSG00000228427
ENST00000740251.1	ENSG00000228427
ENST00000740252.1	ENSG00000228427
ENST00000740253.1	ENSG00000228427
ENST00000740254.1	ENSG00000228427
ENST00000740320.1	ENSG00000296560
ENST00000740321.1	ENSG00000296560
ENST00000740322.1	ENSG00000296560
ENST00000740323.1	ENSG00000296560
ENST00000740324.1	ENSG00000296560
ENST00000740325.1	ENSG00000296560
ENST00000740326.1	ENSG00000296560
ENST00000740327.1	ENSG00000296560
ENST00000741054.1	ENSG00000296659
ENST00000741055.1	ENSG00000296659
ENST00000741056.1	ENSG00000296659
ENST00000741057.1	ENSG00000296659
ENST00000741058.1	ENSG00000296659
ENST00000744989.1	ENSG00000297050
ENST00000744990.1	ENSG00000297050
ENST00000746618.1	ENSG00000297257
ENST00000746619.1	ENSG00000297257
ENST00000747956.1	ENSG00000297448
ENST00000747957.1	ENSG00000297448
ENST00000747958.1	ENSG00000297448
ENST00000749093.1	ENSG00000297587
ENST00000749094.1	ENSG00000297587
ENST00000750617.1	ENSG00000229976
ENST00000750618.1	ENSG00000229976
ENST00000750619.1	ENSG00000229976
ENST00000751147.1	PRPF19-DT
ENST00000751148.1	PRPF19-DT
ENST00000752177.1	ENSG00000297963
ENST00000752178.1	ENSG00000297963
ENST00000752904.1	ENSG00000250775
ENST00000752905.1	ENSG00000250775
ENST00000754133.1	ENSG00000298255
ENST00000754134.1	ENSG00000298255
ENST00000754135.1	ENSG00000298255
ENST00000754477.1	LINC03137
ENST00000754478.1	ENSG00000289114
ENST00000754479.1	ENSG00000289114
ENST00000754525.1	ENSG00000298297
ENST00000754526.1	ENSG00000298297
ENST00000754527.1	ENSG00000298297
ENST00000754528.1	ENSG00000298297
ENST00000754529.1	ENSG00000298297
ENST00000754530.1	ENSG00000298297
ENST00000754615.1	ENSG00000298304
ENST00000754616.1	ENSG00000298304
ENST00000755194.1	ENSG00000298380
ENST00000755195.1	ENSG00000298380
ENST00000755196.1	ENSG00000298380
ENST00000755197.1	ENSG00000298380
ENST00000755198.1	ENSG00000298380
ENST00000755199.1	ENSG00000298380
ENST00000755200.1	ENSG00000298380
ENST00000757283.1	ENSG00000298685
ENST00000757284.1	ENSG00000298685
ENST00000757285.1	ENSG00000298685
ENST00000757286.1	ENSG00000298685
ENST00000757877.1	ENSG00000259370
ENST00000758487.1	MYOSLID
ENST00000758488.1	MYOSLID
ENST00000758489.1	MYOSLID
ENST00000758490.1	MYOSLID
ENST00000758491.1	MYOSLID
ENST00000758492.1	MYOSLID
ENST00000758493.1	MYOSLID
ENST00000758494.1	MYOSLID
ENST00000758495.1	MYOSLID
